username,title,year,rating,film_slug
jay,Cha Cha Real Smooth,,7,cha-cha-real-smooth
jay,Alice,2022.0,4,alice-2022
jay,Sharp Stick,,5,sharp-stick
jay,Living,2022.0,7,living-2022
jay,Fire of Love,2022.0,7,fire-of-love-2022
jay,Fresh,2022.0,6,fresh-2022
jay,The Princess,2022.0,5,the-princess-2022
jay,Scream,2022.0,6,scream-2022
jay,Death to 2021,2021.0,1,death-to-2021
jay,The Matrix Resurrections,,8,the-matrix-resurrections
jay,Spider-Man: No Way Home,,6,spider-man-no-way-home
jay,Don't Look Up,2021.0,4,dont-look-up-2021
jay,Nightmare Alley,2021.0,7,nightmare-alley-2021
jay,West Side Story,2021.0,7,west-side-story-2021
jay,Licorice Pizza,,8,licorice-pizza
jay,"tick, tick... BOOM!",2021.0,6,tick-tick-boom-2021
jay,House of Gucci,,4,house-of-gucci
jay,Millie Lies Low,,7,millie-lies-low
jay,Love Hard,,4,love-hard
jay,Eternals,,5,eternals
jay,Encanto,,5,encanto
jay,The Harder They Fall,2021.0,7,the-harder-they-fall-2021
jay,Diana: The Musical,,3,diana-the-musical
jay,No Time to Die,2021.0,6,no-time-to-die-2021
jay,The Black Phone,,6,the-black-phone
jay,The Tragedy of Macbeth,,7,the-tragedy-of-macbeth
jay,Venom: Let There Be Carnage,,5,venom-let-there-be-carnage
jay,The Humans,,7,the-humans
jay,The Last Duel,2021.0,7,the-last-duel-2021
jay,The Guilty,2021.0,5,the-guilty-2021
jay,Halloween Kills,,4,halloween-kills
jay,Official Competition,,8,official-competition
jay,Last Night in Soho,,4,last-night-in-soho
jay,Marcel the Shell with Shoes On,2021.0,8,marcel-the-shell-with-shoes-on-2021
jay,The Lost Daughter,2021.0,7,the-lost-daughter-2021
jay,Spencer,2021.0,9,spencer-2021
jay,Cinderella,2021.0,1,cinderella-2021
jay,Dune,2021.0,8,dune-2021
jay,King Richard,,5,king-richard
jay,C'mon C'mon,,8,cmon-cmon
jay,The Power of the Dog,,8,the-power-of-the-dog
jay,Malignant,2021.0,8,malignant-2021
jay,He's All That,,1,hes-all-that
jay,Ghostbusters: Afterlife,,3,ghostbusters-afterlife
jay,Candyman,2021.0,6,candyman-2021
jay,Shang-Chi and the Legend of the Ten Rings,,6,shang-chi-and-the-legend-of-the-ten-rings
jay,The Kissing Booth 3,,1,the-kissing-booth-3
jay,She Will,,5,she-will
jay,Free Guy,,4,free-guy
jay,Old,2021.0,3,old-2021
jay,Red Rocket,2021.0,8,red-rocket-2021
jay,Fear Street: 1666,1666.0,5,fear-street-1666
jay,Lamb,2021.0,6,lamb-2021
jay,Titane,,9,titane
jay,Pig,2021.0,7,pig-2021
jay,Bergman Island,2021.0,7,bergman-island-2021
jay,The French Dispatch,,7,the-french-dispatch
jay,Drive My Car,,8,drive-my-car
jay,Benedetta,,8,benedetta
jay,After Yang,,8,after-yang
jay,The Worst Person in the World,,9,the-worst-person-in-the-world
jay,Cow,2021.0,7,cow-2021
jay,The Souvenir: Part II,,5,the-souvenir-part-ii
jay,Fear Street: 1978,1978.0,7,fear-street-1978
jay,The Velvet Underground,2021.0,7,the-velvet-underground-2021
jay,Space Jam: A New Legacy,,2,space-jam-a-new-legacy
jay,Boiling Point,2021.0,8,boiling-point-2021
jay,Escape Room: Tournament of Champions,,4,escape-room-tournament-of-champions
jay,Black Widow,2021.0,5,black-widow-2021
jay,Fear Street: 1994,1994.0,7,fear-street-1994
jay,No Sudden Move,,6,no-sudden-move
jay,Luca,2021.0,6,luca-2021
jay,The Suicide Squad,,6,the-suicide-squad
jay,In the Heights,,4,in-the-heights
jay,The Conjuring: The Devil Made Me Do It,,5,the-conjuring-the-devil-made-me-do-it
jay,Cruella,,6,cruella
jay,The Woman in the Window,2021.0,4,the-woman-in-the-window-2021
jay,Oxygen,2021.0,7,oxygen-2021
jay,Spiral: From the Book of Saw,,5,spiral-from-the-book-of-saw
jay,Wrath of Man,,6,wrath-of-man
jay,Army of the Dead,2021.0,5,army-of-the-dead-2021
jay,Bad Trip,2021.0,5,bad-trip-2021
jay,Godzilla vs. Kong,,5,godzilla-vs-kong
jay,Charli XCX: Alone Together,,6,charli-xcx-alone-together
jay,Nobody,2021.0,7,nobody-2021
jay,Zack Snyder's Justice League,,5,zack-snyders-justice-league
jay,The Feast,2021.0,5,the-feast-2021
jay,YES DAY,,4,yes-day
jay,Barb & Star Go to Vista Del Mar,,7,barb-star-go-to-vista-del-mar
jay,Passing,2021.0,6,passing-2021
jay,Pleasure,2021.0,8,pleasure-2021
jay,A Glitch in the Matrix,2021.0,5,a-glitch-in-the-matrix-2021
jay,CODA,2021.0,5,coda-2021
jay,Malcolm & Marie,,5,malcolm-marie
jay,Censor,2021.0,7,censor-2021
jay,Wrong Turn,2021.0,5,wrong-turn-2021
jay,The Dig,2021.0,6,the-dig-2021
jay,Death to 2020,2020.0,3,death-to-2020
jay,Wonder Woman 1984,1984.0,3,wonder-woman-1984
jay,The Midnight Sky,,4,the-midnight-sky
jay,The Prom,2020.0,4,the-prom-2020
jay,Lovers Rock,2020.0,8,lovers-rock-2020
jay,Ma Rainey's Black Bottom,,7,ma-raineys-black-bottom
jay,Happiest Season,,6,happiest-season
jay,Mank,,7,mank
jay,Hillbilly Elegy,,2,hillbilly-elegy
jay,Borat Subsequent Moviefilm,,7,borat-subsequent-moviefilm
jay,Roald Dahl's The Witches,,4,roald-dahls-the-witches
jay,Soul,2020.0,8,soul-2020
jay,Run,2020.0,6,run-2020
jay,Hubie Halloween,,3,hubie-halloween
jay,"Red, White and Blue",2020.0,7,red-white-and-blue-2020
jay,David Attenborough: A Life on Our Planet,,6,david-attenborough-a-life-on-our-planet
jay,The Trial of the Chicago 7,,6,the-trial-of-the-chicago-7
jay,Enola Holmes,,6,enola-holmes
jay,On the Rocks,2020.0,5,on-the-rocks-2020
jay,I Care a Lot,,5,i-care-a-lot
jay,After Love,2020.0,8,after-love-2020
jay,Nomadland,,7,nomadland
jay,Ammonite,,5,ammonite
jay,The Devil All the Time,,5,the-devil-all-the-time
jay,Mainstream,2020.0,5,mainstream-2020
jay,Pieces of a Woman,,6,pieces-of-a-woman
jay,Antebellum,,3,antebellum
jay,I'm Thinking of Ending Things,,8,im-thinking-of-ending-things
jay,Class Action Park,,7,class-action-park
jay,Tenet,,6,tenet
jay,PVT Chat,,6,pvt-chat
jay,Shithouse,,7,shithouse
jay,An American Pickle,,6,an-american-pickle
jay,The Kissing Booth 2,,1,the-kissing-booth-2
jay,Follow Me,2020.0,2,follow-me-2020
jay,Eurovision Song Contest: The Story of Fire Saga,,3,eurovision-song-contest-the-story-of-fire-saga
jay,Da 5 Bloods,,7,da-5-bloods
jay,Freeze,2020.0,7,freeze-2020
jay,Capone,2020.0,5,capone-2020
jay,Tigertail,,6,tigertail
jay,Shiva Baby,2020.0,9,shiva-baby-2020
jay,The Hunt,2020.0,2,the-hunt-2020
jay,The Invisible Man,2020.0,7,the-invisible-man-2020
jay,Brahms: The Boy II,,3,brahms-the-boy-ii
jay,Emma.,2020.0,7,emma-2020
jay,The Father,2020.0,8,the-father-2020
jay,Some Kind of Heaven,,8,some-kind-of-heaven
jay,Surge,2020.0,7,surge-2020
jay,Palm Springs,2020.0,7,palm-springs-2020
jay,Promising Young Woman,,5,promising-young-woman
jay,Possessor,,8,possessor
jay,Sonic the Hedgehog,,5,sonic-the-hedgehog
jay,Spree,2020.0,6,spree-2020
jay,Miss Americana,,7,miss-americana
jay,Cats,2019.0,3,cats-2019
jay,Star Wars: The Rise of Skywalker,,4,star-wars-the-rise-of-skywalker
jay,Little Women,2019.0,8,little-women-2019
jay,Last Christmas,2019.0,4,last-christmas-2019
jay,Let It Snow,2019.0,4,let-it-snow-2019
jay,Doctor Sleep,,7,doctor-sleep
jay,El Camino: A Breaking Bad Movie,,7,el-camino-a-breaking-bad-movie
jay,Zombieland: Double Tap,,4,zombieland-double-tap
jay,The Irishman,2019.0,8,the-irishman-2019
jay,Tall Girl,,1,tall-girl
jay,Guns Akimbo,,3,guns-akimbo
jay,Saint Maud,,8,saint-maud
jay,Bad Education,2019.0,7,bad-education-2019
jay,Two of Us,2019.0,7,two-of-us-2019
jay,Color Out of Space,,7,color-out-of-space
jay,Knives Out,2019.0,8,knives-out-2019
jay,A Beautiful Day in the Neighborhood,,6,a-beautiful-day-in-the-neighborhood
jay,The Platform,,7,the-platform
jay,Hustlers,2019.0,7,hustlers-2019
jay,The Personal History of David Copperfield,,7,the-personal-history-of-david-copperfield
jay,Babyteeth,,8,babyteeth
jay,The King,2019.0,6,the-king-2019
jay,The Laundromat,2019.0,3,the-laundromat-2019
jay,The Two Popes,,4,the-two-popes
jay,First Cow,,8,first-cow
jay,Waves,2019.0,5,waves-2019
jay,Ford v Ferrari,,6,ford-v-ferrari
jay,Uncut Gems,,10,uncut-gems
jay,Marriage Story,2019.0,10,marriage-story-2019
jay,Ad Astra,2019.0,6,ad-astra-2019
jay,It Chapter Two,,3,it-chapter-two
jay,Ready or Not,2019.0,7,ready-or-not-2019
jay,Bad Assistant,,7,bad-assistant
jay,Fast & Furious Presents: Hobbs & Shaw,,6,fast-furious-presents-hobbs-shaw
jay,Daughter,2019.0,6,daughter-2019
jay,The Fabric of You,,6,the-fabric-of-you
jay,Anima,2019.0,7,anima-2019
jay,Spider-Man: Far From Home,,6,spider-man-far-from-home
jay,Child's Play,2019.0,5,childs-play-2019
jay,Midsommar,,8,midsommar
jay,Sequin in a Blue Room,,7,sequin-in-a-blue-room
jay,Chasing Happiness,,5,jonas-brothers-chasing-happiness
jay,Always Be My Maybe,2019.0,6,always-be-my-maybe-2019
