username,title,year,rating,film_slug,year_clean,title_norm,tmdb_id
jaragon23,NYAD,2023,6,nyad,,nyad,895549
jaragon23,The Wonderful Story of Henry Sugar,2023,9,the-wonderful-story-of-henry-sugar,,thewonderfulstoryofhenrysugar,923939
jaragon23,The Bikeriders,2024,7,the-bikeriders,,thebikeriders,1008409
jaragon23,El Conde,2023,6,el-conde,,elconde,991708
jaragon23,Rustin,2023,5,rustin-2023,2023.0,rustin,898713
jaragon23,The Holdovers,2023,9,the-holdovers,,theholdovers,840430
jaragon23,Dogman,2023,3,dogman-2023,2023.0,dogman,774370
jaragon23,Saltburn,2023,7,saltburn,,saltburn,930564
jaragon23,The Equalizer 3,2023,4,the-equalizer-3,,theequalizer3,926393
jaragon23,You Are So Not Invited to My Bat Mitzvah,2023,6,you-are-so-not-invited-to-my-bat-mitzvah,,youaresonotinvitedtomybatmitzvah,999644
jaragon23,Strays,2023,3,strays-2023,2023.0,strays,912908
jaragon23,The Last Voyage of the Demeter,2023,5,the-last-voyage-of-the-demeter,,thelastvoyageofthedemeter,635910
jaragon23,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,8,teenage-mutant-ninja-turtles-mutant-mayhem,,teenagemutantninjaturtlesmutantmayhem,614930
jaragon23,"Red, White & Royal Blue",2023,5,red-white-royal-blue,,"red,white&royalblue",930094
jaragon23,Blue Beetle,2023,5,blue-beetle,,bluebeetle,565770
jaragon23,Gran Turismo,2023,6,gran-turismo,,granturismo,980489
jaragon23,Haunted Mansion,2023,3,haunted-mansion-2023,2023.0,hauntedmansion,616747
jaragon23,The Boy and the Heron,2023,10,the-boy-and-the-heron,,theboyandtheheron,508883
jaragon23,Oppenheimer,2023,9,oppenheimer-2023,2023.0,oppenheimer,872585
jaragon23,Insidious: The Red Door,2023,5,insidious-the-red-door,,insidiousthereddoor,614479
jaragon23,Secret Invasion,1964,4,secret-invasion,,secretinvasion,29032
jaragon23,Mission: Impossible – Dead Reckoning,2023,9,mission-impossible-dead-reckoning,,missionimpossible–deadreckoning,575264
jaragon23,Barbie,2023,7,barbie,,barbie,346698
jaragon23,Nimona,2023,8,nimona-2023,2023.0,nimona,961323
jaragon23,They Cloned Tyrone,2023,8,they-cloned-tyrone,,theyclonedtyrone,736769
jaragon23,No Hard Feelings,2023,6,no-hard-feelings-2023,2023.0,nohardfeelings,884605
jaragon23,The Flash,2023,5,the-flash,,theflash,298618
jaragon23,Meg 2: The Trench,2023,4,meg-2-the-trench,,meg2thetrench,615656
jaragon23,Extraction 2,2023,6,extraction-2,,extraction2,697843
jaragon23,Spider-Man: Across the Spider-Verse,2023,9,spider-man-across-the-spider-verse,,spidermanacrossthespiderverse,569094
jaragon23,Elemental,2023,6,elemental-2023,2023.0,elemental,976573
jaragon23,Transformers: Rise of the Beasts,2023,5,transformers-rise-of-the-beasts,,transformersriseofthebeasts,667538
jaragon23,The Taste of Things,2023,9,the-taste-of-things,,thetasteofthings,964960
jaragon23,The Boogeyman,2023,5,the-boogeyman,,theboogeyman,532408
jaragon23,Anatomy of a Fall,2023,8,anatomy-of-a-fall,,anatomyofafall,915935
jaragon23,Robot Dreams,2023,8,robot-dreams,,robotdreams,838240
jaragon23,May December,2023,9,may-december,,maydecember,839369
jaragon23,Killers of the Flower Moon,2023,10,killers-of-the-flower-moon,,killersoftheflowermoon,466420
jaragon23,The Zone of Interest,2023,9,the-zone-of-interest,,thezoneofinterest,467244
jaragon23,Indiana Jones and the Dial of Destiny,2023,6,indiana-jones-and-the-dial-of-destiny,,indianajonesandthedialofdestiny,335977
jaragon23,Monster,2023,9,monster-2023,2023.0,monster,1203484
jaragon23,Fast X,2023,5,fast-x,,fastx,385687
jaragon23,The Little Mermaid,2023,6,the-little-mermaid-2023,2023.0,thelittlemermaid,447277
jaragon23,Guardians of the Galaxy Vol. 3,2023,8,guardians-of-the-galaxy-vol-3,,guardiansofthegalaxyvol3,447365
jaragon23,Guy Ritchie's The Covenant,2023,5,guy-ritchies-the-covenant,,guyritchiesthecovenant,882569
jaragon23,Ghosted,2023,3,ghosted-2023,2023.0,ghosted,868759
jaragon23,Beau Is Afraid,2023,5,beau-is-afraid,,beauisafraid,798286
jaragon23,The Pope's Exorcist,2023,4,the-popes-exorcist,,thepopesexorcist,758323
jaragon23,The Super Mario Bros. Movie,2023,6,the-super-mario-bros-movie,,thesupermariobrosmovie,502356
jaragon23,Renfield,2023,5,renfield,,renfield,649609
jaragon23,Murder Mystery 2,2023,3,murder-mystery-2,,murdermystery2,638974
jaragon23,"Are You There God? It's Me, Margaret.",2023,8,are-you-there-god-its-me-margaret,,"areyoutheregod?itsme,margaret",555285
jaragon23,Air,2023,7,air-2023,2023.0,air,964980
jaragon23,Evil Dead Rise,2023,7,evil-dead-rise,,evildeadrise,713704
jaragon23,Boston Strangler,2023,6,boston-strangler,,bostonstrangler,881164
jaragon23,Shazam! Fury of the Gods,2023,4,shazam-fury-of-the-gods,,shazam!furyofthegods,594767
jaragon23,Problemista,2024,8,problemista,,problemista,852247
jaragon23,Hypnotic,2023,3,hypnotic-2023,2023.0,hypnotic,536437
jaragon23,Bottoms,2023,8,bottoms,,bottoms,814776
jaragon23,Flamin' Hot,2023,4,flamin-hot,,flaminhot,626332
jaragon23,Dungeons & Dragons: Honor Among Thieves,2023,7,dungeons-dragons-honor-among-thieves,,dungeons&dragonshonoramongthieves,493529
jaragon23,A Good Person,2023,6,a-good-person-2023,2023.0,agoodperson,800787
jaragon23,John Wick: Chapter 4,2023,10,john-wick-chapter-4,,johnwickchapter4,603692
jaragon23,Scream VI,2023,7,scream-vi,,screamvi,934433
jaragon23,65,2023,4,65,,65,700391
jaragon23,Cocaine Bear,2023,5,cocaine-bear,,cocainebear,804150
jaragon23,Reality,2023,7,reality-2023,2023.0,reality,985617
jaragon23,BlackBerry,2023,8,blackberry-2023,2023.0,blackberry,1016084
jaragon23,Creed III,2023,8,creed-iii,,creediii,677179
jaragon23,Magic Mike's Last Dance,2023,6,magic-mikes-last-dance,,magicmikeslastdance,906221
jaragon23,80 for Brady,2023,4,80-for-brady,,80forbrady,942922
jaragon23,Ant-Man and the Wasp: Quantumania,2023,4,ant-man-and-the-wasp-quantumania,,antmanandthewaspquantumania,640146
jaragon23,Knock at the Cabin,2023,6,knock-at-the-cabin,,knockatthecabin,631842
