username,title,year,rating,film_slug
schaffrillas,My Big Gay Italian Wedding,,4.0,my-big-gay-italian-wedding
schaffrillas,The Wolf House,,7.0,the-wolf-house
schaffrillas,"Love, Simon",,8.0,love-simon
schaffrillas,Game Night,,8.0,game-night
schaffrillas,Isle of Dogs,2018.0,6.0,isle-of-dogs-2018
schaffrillas,The Cloverfield Paradox,,3.0,the-cloverfield-paradox
schaffrillas,Peter Rabbit,,6.0,peter-rabbit
schaffrillas,Black Panther,,8.0,black-panther
schaffrillas,Bisbee '17,,6.0,bisbee-17
schaffrillas,Eighth Grade,,6.0,eighth-grade
