username,title,year,rating,film_slug,tmdb_id
kurstboy,Napoleon Dynamite,,8,napoleon-dynamite,
kurstboy,Along Came Polly,,5,along-came-polly,
kurstboy,Cheaper by the Dozen,2003.0,5,cheaper-by-the-dozen-2003,
kurstboy,Big Fish,,7,big-fish,
kurstboy,The Lord of the Rings: The Return of the King,,8,the-lord-of-the-rings-the-return-of-the-king,
kurstboy,Oldboy,,10,oldboy,
kurstboy,Bad Santa,,7,bad-santa,
kurstboy,The Cat in the Hat,2003.0,2,the-cat-in-the-hat-2003,
kurstboy,Elf,,7,elf,
kurstboy,Boundin',,7,boundin,
kurstboy,The Matrix Revolutions,,6,the-matrix-revolutions,
kurstboy,Kill Bill: Vol. 1,,9,kill-bill-vol-1,
kurstboy,Barbie of Swan Lake,,6,3-2003-1,
kurstboy,School of Rock,,9,school-of-rock,
kurstboy,Los Angeles Plays Itself,,9,los-angeles-plays-itself,
kurstboy,Coffee and Cigarettes,2003.0,8,coffee-and-cigarettes-2003,
kurstboy,Tokyo Godfathers,,8,tokyo-godfathers,
kurstboy,"Goodbye, Dragon Inn",,9,goodbye-dragon-inn,
kurstboy,Lost in Translation,,8,lost-in-translation,
kurstboy,Stitch! The Movie,,6,stitch-the-movie,
kurstboy,George of the Jungle 2,,2,george-of-the-jungle-2,
kurstboy,Uptown Girls,,8,uptown-girls,
kurstboy,Freaky Friday,2003.0,7,freaky-friday-2003,
kurstboy,Spy Kids 3-D: Game Over,,2,spy-kids-3-d-game-over,
kurstboy,"Legally Blonde 2: Red, White & Blonde",,3,legally-blonde-2-red-white-blonde,
kurstboy,Pirates of the Caribbean: The Curse of the Black Pearl,,8,pirates-of-the-caribbean-the-curse-of-the-black-pearl,
kurstboy,The Room,,2,the-room,
kurstboy,Rugrats Go Wild,,3,rugrats-go-wild,
kurstboy,Elephant,2003.0,8,elephant-2003,
kurstboy,Finding Nemo,,9,finding-nemo,
kurstboy,The Matrix Reloaded,,8,the-matrix-reloaded,
kurstboy,Memories of Murder,,9,memories-of-murder,
kurstboy,Holes,,6,holes,
kurstboy,A Mighty Wind,,7,a-mighty-wind,
kurstboy,Kangaroo Jack,,2,kangaroo-jack,
kurstboy,The Lord of the Rings: The Two Towers,,8,the-lord-of-the-rings-the-two-towers,
kurstboy,Catch Me If You Can,2002.0,8,catch-me-if-you-can-2002,
kurstboy,Chicago,,7,chicago,
kurstboy,Gangs of New York,2002.0,5,gangs-of-new-york-2002,
kurstboy,Adaptation.,,10,adaptation,
kurstboy,28 Days Later,,8,28-days-later,
kurstboy,8 Mile,,6,8-mile,
kurstboy,Spy Kids 2: The Island of Lost Dreams,,4,spy-kids-2-the-island-of-lost-dreams,
kurstboy,Signs,,8,signs,
kurstboy,The Cat Returns,,7,the-cat-returns,
kurstboy,Minority Report,,9,minority-report,
kurstboy,Lilo & Stitch,,8,lilo-stitch,
kurstboy,Scooby-Doo,,7,scooby-doo,
kurstboy,Mike's New Car,,8,mikes-new-car,
kurstboy,Irreversible,,7,irreversible,
kurstboy,Punch-Drunk Love,,10,punch-drunk-love,
kurstboy,City of God,,9,city-of-god,
kurstboy,Insomnia,2002.0,7,insomnia-2002,
kurstboy,Spider-Man,,7,spider-man,
kurstboy,Panic Room,,6,panic-room,
kurstboy,Ice Age,,7,ice-age,
kurstboy,Dark Water,,7,dark-water,
kurstboy,Snow Dogs,,2,snow-dogs,
kurstboy,Love Liza,,8,love-liza,
kurstboy,A Beautiful Mind,,5,a-beautiful-mind,
kurstboy,The Lord of the Rings: The Fellowship of the Ring,,9,the-lord-of-the-rings-the-fellowship-of-the-ring,
kurstboy,Jimmy Neutron: Boy Genius,,4,jimmy-neutron-boy-genius,
kurstboy,Ocean's Eleven,2001.0,9,oceans-eleven-2001,
kurstboy,Harry Potter and the Philosopher's Stone,,6,harry-potter-and-the-philosophers-stone,
kurstboy,"Monsters, Inc.",,9,monsters-inc,
kurstboy,The Royal Tenenbaums,,10,the-royal-tenenbaums,
kurstboy,Zoolander,,7,zoolander,
kurstboy,Ichi the Killer,,7,ichi-the-killer,
kurstboy,All About Lily Chou-Chou,,9,all-about-lily-chou-chou,
kurstboy,Bubble Boy,,7,bubble-boy,
kurstboy,Osmosis Jones,,4,osmosis-jones,
kurstboy,Planet of the Apes,2001.0,3,planet-of-the-apes-2001,
kurstboy,Spirited Away,,10,spirited-away,
kurstboy,Legally Blonde,,9,legally-blonde,
kurstboy,Y Tu Mamá También,,10,y-tu-mama-tambien,
kurstboy,Atlantis: The Lost Empire,,7,atlantis-the-lost-empire,
kurstboy,Millennium Mambo,,9,millennium-mambo,
kurstboy,Mulholland Drive,,10,mulholland-drive,
kurstboy,Trouble Every Day,,6,trouble-every-day,
kurstboy,Amélie,,7,amelie,
kurstboy,Shrek,,9,shrek,
kurstboy,The Devil's Backbone,,8,the-devils-backbone,
kurstboy,Josie and the Pussycats,,9,josie-and-the-pussycats,
kurstboy,Bridget Jones's Diary,,6,bridget-joness-diary,
kurstboy,Spy Kids,,4,spy-kids,
kurstboy,Fat Girl,,5,fat-girl,
kurstboy,In the Bedroom,,9,in-the-bedroom,
